ÖSYM Program Kodu,Üniversite Türü,Üniversite,Fakülte / Yüksekokul,Puan Türü,Burs Türü,Genel Kontenjan,Okul Birincisi Kontenjanı,Toplam Kontenjan,Genel Kontenjana Yerleşen,Okul Birincisi Kontenjanına Yerleşen,Toplam Yerleşen,Boş Kalan Kontenjan,İlk Yerleşme Oranı,Yerleşip Kayıt Yaptırmayan,Ek Yerleşen,,,,"0,12 Katsayı ile Yerleşen Son Kişinin Başarı Sırası","0,12 + 0,06 Katsayı ile Yerleşen Son Kişinin Başarı Sırası",2018'de Yerleşip 2019'de OBP'si Kırılarak Yerleşen Sayısı,Yerleşenlerin Ortalama OBP'si,Yerleşenlerin Ortalama Diploma Notu,Yil
201910606,Vakıf,HALİÇ ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,%50 İndirimli,47,---,47,18,---,18,29,"% 38,3",---,---,Dolmadı,---,"317,97528",Dolmadı,---,---,"419,889","84,0",2019
201610151,Vakıf,HASAN KALYONCU ÜNİVERSİTESİ ,Güzel Sanatlar ve Mimarlık Fakültesi,SAY,Ücretli,29,---,29,1,---,1,28,"% 3,4",---,---,Dolmadı,---,"311,84745",Dolmadı,---,---,"411,750","82,4",2019
201610169,Vakıf,HASAN KALYONCU ÜNİVERSİTESİ ,Güzel Sanatlar ve Mimarlık Fakültesi,SAY,Burslu,6,---,6,6,---,6,---,"% 100,0",---,---,"334,48093",---,"394,04482",130.664,---,---,"439,725","87,9",2019
201610178,Vakıf,HASAN KALYONCU ÜNİVERSİTESİ ,Güzel Sanatlar ve Mimarlık Fakültesi,SAY,%50 İndirimli,10,---,10,10,---,10,---,"% 100,0",---,---,"295,24191",---,"335,63685",199.371,---,---,"421,665","84,3",2019
201610187,Vakıf,HASAN KALYONCU ÜNİVERSİTESİ ,Güzel Sanatlar ve Mimarlık Fakültesi,SAY,%25 İndirimli,15,---,15,9,---,9,6,"% 60,0",---,---,Dolmadı,---,"303,30842",Dolmadı,---,---,"402,039","80,4",2019
202011601,Vakıf,IŞIK ÜNİVERSİTESİ ,Mimarlık ve Tasarım Fakültesi,SAY,Ücretli,3,---,3,0,---,0,3,"% 0,0",---,---,---,---,---,Dolmadı,---,---,---,---,2019
202011619,Vakıf,IŞIK ÜNİVERSİTESİ ,Mimarlık ve Tasarım Fakültesi,SAY,Burslu,4,---,4,4,---,4,---,"% 100,0",---,---,"387,85487",---,"397,72743",74.587,---,---,"439,913","88,0",2019
202011964,Vakıf,IŞIK ÜNİVERSİTESİ ,Mimarlık ve Tasarım Fakültesi,SAY,%75 İndirimli,8,---,8,8,---,8,---,"% 100,0",---,---,"288,24032",---,"349,90471",215.906,---,1,"409,863","82,0",2019
202011628,Vakıf,IŞIK ÜNİVERSİTESİ ,Mimarlık ve Tasarım Fakültesi,SAY,%50 İndirimli,25,---,25,1,---,1,24,"% 4,0",---,---,Dolmadı,---,"306,77181",Dolmadı,---,---,"368,950","73,8",2019
202011337,Vakıf,IŞIK ÜNİVERSİTESİ ,Mimarlık ve Tasarım Fakültesi,SAY,Ücretli,3,---,3,3,---,3,---,"% 100,0",---,---,"295,44546",---,"306,56560",198.931,---,---,"398,517","79,7",2019
202011346,Vakıf,IŞIK ÜNİVERSİTESİ ,Mimarlık ve Tasarım Fakültesi,SAY,Burslu,4,---,4,4,---,4,---,"% 100,0",---,---,"396,47430",---,"416,34960",67.451,---,---,"426,413","85,3",2019
202011973,Vakıf,IŞIK ÜNİVERSİTESİ ,Mimarlık ve Tasarım Fakültesi,SAY,%75 İndirimli,8,---,8,8,---,8,---,"% 100,0",---,---,"291,87693",---,"355,84813",207.069,---,---,"396,656","79,3",2019
202011355,Vakıf,IŞIK ÜNİVERSİTESİ ,Mimarlık ve Tasarım Fakültesi,SAY,%50 İndirimli,25,---,25,3,---,3,22,"% 12,0",---,---,Dolmadı,---,"288,26789",Dolmadı,---,---,"442,000","88,4",2019
202111063,Vakıf,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ ,Güzel Sanatlar Tasarım ve Mimarlık Fakültesi,SAY,Ücretli,45,---,45,45,---,45,---,"% 100,0",---,---,"384,52238",---,"435,70139",77.415,---,---,"451,212","90,2",2019
202111072,Vakıf,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ ,Güzel Sanatlar Tasarım ve Mimarlık Fakültesi,SAY,Burslu,7,---,7,7,---,7,---,"% 100,0",---,---,"494,22054",---,"516,32175",8.814,---,---,"479,936","96,0",2019
202111081,Vakıf,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ ,Güzel Sanatlar Tasarım ve Mimarlık Fakültesi,SAY,%50 İndirimli,18,---,18,18,---,18,---,"% 100,0",---,---,"438,84837",---,"463,17517",37.119,---,---,"463,406","92,7",2019
202310451,Vakıf,İSTANBUL AREL ÜNİVERSİTESİ  ,Mühendislik-Mimarlık Fakültesi,SAY,Ücretli,4,---,4,0,---,0,4,"% 0,0",---,---,---,---,---,Dolmadı,---,---,---,---,2019
202310469,Vakıf,İSTANBUL AREL ÜNİVERSİTESİ  ,Mühendislik-Mimarlık Fakültesi,SAY,Burslu,6,---,6,6,---,6,---,"% 100,0",---,---,"354,70297",---,"400,15258",106.202,---,---,"434,300","86,9",2019
202390119,Vakıf,İSTANBUL AREL ÜNİVERSİTESİ  ,Mühendislik-Mimarlık Fakültesi,SAY,%75 İndirimli,11,---,11,11,---,11,---,"% 100,0",---,---,"277,65113",---,"317,22145",244.268,---,---,"401,082","80,2",2019
202310936,Vakıf,İSTANBUL AREL ÜNİVERSİTESİ  ,Mühendislik-Mimarlık Fakültesi,SAY,%50 İndirimli,39,---,39,0,---,0,39,"% 0,0",---,---,---,---,---,Dolmadı,---,---,---,---,2019
202410168,Vakıf,İSTANBUL AYDIN ÜNİVERSİTESİ ,Mimarlık ve Tasarım Fakültesi,SAY,Burslu,10,---,10,10,---,10,---,"% 100,0",---,---,"376,71057",---,"412,63184",84.240,---,---,"446,025","89,2",2019
202410177,Vakıf,İSTANBUL AYDIN ÜNİVERSİTESİ ,Mimarlık ve Tasarım Fakültesi,SAY,%50 İndirimli,90,---,90,25,---,25,65,"% 27,8",2,---,Dolmadı,---,"358,56095",Dolmadı,---,1,"407,620","81,5",2019
205090041,Vakıf,İSTANBUL AYVANSARAY ÜNİVERSİTESİ ,"Güzel Sanatlar, Tasarım ve Mimarlık Fakültesi",SAY,Burslu,3,---,3,3,---,3,---,"% 100,0",---,---,"343,96593",---,"370,93957",118.463,---,---,"430,100","86,0",2019
205090068,Vakıf,İSTANBUL AYVANSARAY ÜNİVERSİTESİ ,"Güzel Sanatlar, Tasarım ve Mimarlık Fakültesi",SAY,%75 İndirimli,27,---,27,0,---,0,27,"% 0,0",---,---,---,---,---,Dolmadı,---,---,---,---,2019
202510801,Vakıf,İSTANBUL BİLGİ ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Ücretli,49,---,49,24,---,24,25,"% 49,0",2,---,Dolmadı,---,"348,11673",Dolmadı,---,1,"415,179","83,0",2019
202510819,Vakıf,İSTANBUL BİLGİ ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Burslu,7,---,7,7,---,7,---,"% 100,0",---,---,"433,12062",---,"444,27664",40.857,---,---,"450,936","90,2",2019
202511111,Vakıf,İSTANBUL BİLGİ ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,%50 İndirimli,7,---,7,7,---,7,---,"% 100,0",---,---,"404,67965",---,"432,23798",61.095,---,---,"463,571","92,7",2019
202590201,Vakıf,İSTANBUL BİLGİ ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,%25 İndirimli,7,---,7,7,---,7,---,"% 100,0",---,---,"348,87573",---,"402,87112",112.726,---,---,"457,050","91,4",2019
207510179,Vakıf,İSTANBUL ESENYURT ÜNİVERSİTESİ ,Mühendislik ve Mimarlık Fakültesi,SAY,Burslu,5,---,5,5,---,5,---,"% 100,0",---,---,"333,83598",---,"362,32530",131.526,---,---,"403,220","80,6",2019
207510549,Vakıf,İSTANBUL ESENYURT ÜNİVERSİTESİ ,Mühendislik ve Mimarlık Fakültesi,SAY,%75 İndirimli,14,---,14,9,---,9,5,"% 64,3",---,---,Dolmadı,---,"324,66522",Dolmadı,---,---,"402,361","80,5",2019
207510188,Vakıf,İSTANBUL ESENYURT ÜNİVERSİTESİ ,Mühendislik ve Mimarlık Fakültesi,SAY,%50 İndirimli,31,---,31,0,---,0,31,"% 0,0",---,---,---,---,---,Dolmadı,---,---,---,---,2019
201710062,Vakıf,İSTANBUL GEDİK ÜNİVERSİTESİ ,Güzel Sanatlar ve Mimarlık Fakültesi,SAY,Burslu,4,---,4,4,---,4,---,"% 100,0",---,---,"383,56960",---,"396,21142",78.201,---,---,"434,838","87,0",2019
201790226,Vakıf,İSTANBUL GEDİK ÜNİVERSİTESİ ,Güzel Sanatlar ve Mimarlık Fakültesi,SAY,%75 İndirimli,13,---,13,3,---,3,10,"% 23,1",---,---,Dolmadı,---,"302,62992",Dolmadı,---,1,"401,550","80,3",2019
201710071,Vakıf,İSTANBUL GEDİK ÜNİVERSİTESİ ,Güzel Sanatlar ve Mimarlık Fakültesi,SAY,%50 İndirimli,23,---,23,0,---,0,23,"% 0,0",---,---,---,---,---,Dolmadı,---,---,---,---,2019
202710165,Vakıf,İSTANBUL GELİŞİM ÜNİVERSİTESİ ,Mühendislik-Mimarlık Fakültesi,SAY,Burslu,5,---,5,5,---,5,---,"% 100,0",---,---,"361,43925",---,"383,92543",99.018,---,---,"410,210","82,0",2019
202790396,Vakıf,İSTANBUL GELİŞİM ÜNİVERSİTESİ ,Mühendislik-Mimarlık Fakültesi,SAY,%75 İndirimli,33,---,33,33,---,33,---,"% 100,0",1,---,"278,44371",---,"334,56157",242.020,---,1,"401,726","80,3",2019
202710174,Vakıf,İSTANBUL GELİŞİM ÜNİVERSİTESİ ,Mühendislik-Mimarlık Fakültesi,SAY,%50 İndirimli,12,---,12,2,---,2,10,"% 16,7",---,---,Dolmadı,---,"281,78681",Dolmadı,---,---,"394,325","78,9",2019
202711181,Vakıf,İSTANBUL GELİŞİM ÜNİVERSİTESİ ,Mühendislik-Mimarlık Fakültesi,SAY,Burslu,3,---,3,3,---,3,---,"% 100,0",---,---,"377,66399",---,"390,55297",83.397,---,---,"409,250","81,9",2019
202790397,Vakıf,İSTANBUL GELİŞİM ÜNİVERSİTESİ ,Mühendislik-Mimarlık Fakültesi,SAY,%75 İndirimli,25,---,25,13,---,13,12,"% 52,0",---,---,Dolmadı,---,"333,41967",Dolmadı,---,---,"391,473","78,3",2019
202711199,Vakıf,İSTANBUL GELİŞİM ÜNİVERSİTESİ ,Mühendislik-Mimarlık Fakültesi,SAY,%50 İndirimli,2,---,2,1,---,1,1,"% 50,0",---,---,Dolmadı,---,"313,16635",Dolmadı,---,---,"460,900","92,2",2019
203010415,Vakıf,İSTANBUL KÜLTÜR ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Ücretli,12,---,12,0,---,0,12,"% 0,0",---,---,---,---,---,Dolmadı,---,---,---,---,2019
203010424,Vakıf,İSTANBUL KÜLTÜR ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Burslu,8,---,8,8,---,8,---,"% 100,0",---,---,"388,91540",---,"418,33123",73.716,---,1,"431,219","86,2",2019
203010433,Vakıf,İSTANBUL KÜLTÜR ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,%50 İndirimli,40,---,40,20,---,20,20,"% 50,0",---,---,Dolmadı,---,"375,02527",Dolmadı,---,---,"417,838","83,6",2019
203010927,Vakıf,İSTANBUL KÜLTÜR ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Ücretli,9,---,9,1,---,1,8,"% 11,1",---,---,Dolmadı,---,"302,34676",Dolmadı,---,1,"423,000","84,6",2019
203010936,Vakıf,İSTANBUL KÜLTÜR ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Burslu,6,---,6,6,---,6,---,"% 100,0",---,---,"387,26712",---,"407,53647",75.046,---,---,"440,050","88,0",2019
203010945,Vakıf,İSTANBUL KÜLTÜR ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,%50 İndirimli,40,---,40,21,---,21,19,"% 52,5",---,---,Dolmadı,---,"374,21007",Dolmadı,---,1,"418,855","83,8",2019
203110883,Vakıf,İSTANBUL MEDİPOL ÜNİVERSİTESİ  ,Güzel Sanatlar Tasarım ve Mimarlık Fakültesi,SAY,Burslu,9,---,9,9,---,9,---,"% 100,0",---,---,"406,61714",---,"428,79511",59.652,---,---,"452,050","90,4",2019
203110892,Vakıf,İSTANBUL MEDİPOL ÜNİVERSİTESİ  ,Güzel Sanatlar Tasarım ve Mimarlık Fakültesi,SAY,%50 İndirimli,81,---,81,69,---,69,12,"% 85,2",4,1,Dolmadı,---,"373,99210",Dolmadı,---,5,"412,629","82,5",2019
203110856,Vakıf,İSTANBUL MEDİPOL ÜNİVERSİTESİ  ,Güzel Sanatlar Tasarım ve Mimarlık Fakültesi,SAY,Burslu,9,---,9,9,---,9,---,"% 100,0",1,---,"398,00354",---,"431,58884",66.235,---,1,"450,533","90,1",2019
203110865,Vakıf,İSTANBUL MEDİPOL ÜNİVERSİTESİ  ,Güzel Sanatlar Tasarım ve Mimarlık Fakültesi,SAY,%50 İndirimli,81,---,81,54,---,54,27,"% 66,7",2,---,Dolmadı,---,"380,80893",Dolmadı,---,---,"422,589","84,5",2019
204712279,Vakıf,İSTANBUL OKAN ÜNİVERSİTESİ ,"Sanat, Tasarım ve Mimarlık Fakültesi",SAY,Burslu,6,---,6,6,---,6,---,"% 100,0",---,---,"343,47085",---,"386,33832",119.071,---,---,"418,525","83,7",2019
204712288,Vakıf,İSTANBUL OKAN ÜNİVERSİTESİ ,"Sanat, Tasarım ve Mimarlık Fakültesi",SAY,%50 İndirimli,54,---,54,3,---,3,51,"% 5,6",---,---,Dolmadı,---,"318,28082",Dolmadı,---,---,"395,933","79,2",2019
204711703,Vakıf,İSTANBUL OKAN ÜNİVERSİTESİ ,"Sanat, Tasarım ve Mimarlık Fakültesi",SAY,Burslu,5,---,5,5,---,5,---,"% 100,0",---,---,"321,42098",---,"398,23894",149.814,---,1,"414,040","82,8",2019
204711678,Vakıf,İSTANBUL OKAN ÜNİVERSİTESİ ,"Sanat, Tasarım ve Mimarlık Fakültesi",SAY,%50 İndirimli,45,---,45,2,---,2,43,"% 4,4",---,---,Dolmadı,---,"308,36359",Dolmadı,---,---,"400,975","80,2",2019
208110144,Vakıf,İSTANBUL RUMELİ ÜNİVERSİTESİ ,Mühendislik ve Mimarlık Fakültesi,SAY,Burslu,4,---,4,4,---,4,---,"% 100,0",---,---,"332,70350",---,"357,25144",133.135,---,---,"423,200","84,6",2019
208151115,Vakıf,İSTANBUL RUMELİ ÜNİVERSİTESİ ,Mühendislik ve Mimarlık Fakültesi,SAY,%75 İndirimli,34,---,34,6,---,6,28,"% 17,6",---,---,Dolmadı,---,"295,19084",Dolmadı,---,---,"397,633","79,5",2019
208110171,Vakıf,İSTANBUL RUMELİ ÜNİVERSİTESİ ,Mühendislik ve Mimarlık Fakültesi,SAY,%50 İndirimli,6,---,6,0,---,0,6,"% 0,0",---,---,---,---,---,Dolmadı,---,---,---,---,2019
203210264,Vakıf,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ  ,Mühendislik ve Doğa Bilimleri Fakültesi,SAY,Burslu,6,---,6,6,---,6,---,"% 100,0",---,---,"377,17549",---,"396,95245",83.823,---,---,"438,775","87,8",2019
203210273,Vakıf,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ  ,Mühendislik ve Doğa Bilimleri Fakültesi,SAY,%50 İndirimli,24,---,24,19,---,19,5,"% 79,2",---,---,Dolmadı,---,"364,56479",Dolmadı,---,---,"426,282","85,3",2019
203210282,Vakıf,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ  ,Mühendislik ve Doğa Bilimleri Fakültesi,SAY,%25 İndirimli,30,---,30,1,---,1,29,"% 3,3",---,---,Dolmadı,---,"302,91649",Dolmadı,---,---,"435,100","87,0",2019
203350384,Vakıf,İSTANBUL ŞEHİR ÜNİVERSİTESİ ,Mimarlık ve Tasarım Fakültesi,SAY,Burslu,5,---,5,5,---,5,---,"% 100,0",---,---,"389,81155",---,"409,99470",72.949,---,---,"439,090","87,8",2019
203350417,Vakıf,İSTANBUL ŞEHİR ÜNİVERSİTESİ ,Mimarlık ve Tasarım Fakültesi,SAY,%75 İndirimli,10,---,10,10,---,10,---,"% 100,0",---,---,"320,20429",---,"361,48538",151.805,---,---,"422,880","84,6",2019
203350385,Vakıf,İSTANBUL ŞEHİR ÜNİVERSİTESİ ,Mimarlık ve Tasarım Fakültesi,SAY,%50 İndirimli,35,---,35,12,---,12,23,"% 34,3",---,---,Dolmadı,---,"320,00187",Dolmadı,---,---,"426,025","85,2",2019
203350386,Vakıf,İSTANBUL ŞEHİR ÜNİVERSİTESİ ,Mimarlık ve Tasarım Fakültesi,SAY,Burslu,4,---,4,4,---,4,---,"% 100,0",---,---,"387,38077",---,"419,61422",74.950,---,---,"433,513","86,7",2019
203350416,Vakıf,İSTANBUL ŞEHİR ÜNİVERSİTESİ ,Mimarlık ve Tasarım Fakültesi,SAY,%75 İndirimli,8,---,8,8,---,8,---,"% 100,0",---,---,"334,12287",---,"376,36775",131.139,---,---,"428,700","85,7",2019
203350387,Vakıf,İSTANBUL ŞEHİR ÜNİVERSİTESİ ,Mimarlık ve Tasarım Fakültesi,SAY,%50 İndirimli,28,---,28,17,---,17,11,"% 60,7",---,---,Dolmadı,---,"331,37497",Dolmadı,---,2,"424,321","84,9",2019
203411118,Vakıf,İSTANBUL TİCARET ÜNİVERSİTESİ ,Mimarlık ve Tasarım Fakültesi,SAY,Ücretli,5,---,5,0,---,0,5,"% 0,0",---,---,---,---,---,Dolmadı,---,---,---,---,2019
203411127,Vakıf,İSTANBUL TİCARET ÜNİVERSİTESİ ,Mimarlık ve Tasarım Fakültesi,SAY,Burslu,7,---,7,7,---,7,---,"% 100,0",---,---,"355,44365",---,"400,14156",105.392,---,1,"428,114","85,6",2019
203411136,Vakıf,İSTANBUL TİCARET ÜNİVERSİTESİ ,Mimarlık ve Tasarım Fakültesi,SAY,%50 İndirimli,43,---,43,27,---,27,16,"% 62,8",1,---,Dolmadı,---,"333,59199",Dolmadı,---,1,"409,128","81,8",2019
203411145,Vakıf,İSTANBUL TİCARET ÜNİVERSİTESİ ,Mimarlık ve Tasarım Fakültesi,SAY,%25 İndirimli,15,---,15,0,---,0,15,"% 0,0",---,---,---,---,---,Dolmadı,---,---,---,---,2019
206210025,Vakıf,İSTANBUL YENİ YÜZYIL ÜNİVERSİTESİ  ,Mühendislik-Mimarlık Fakültesi,SAY,Burslu,5,---,5,5,---,5,---,"% 100,0",---,---,"342,04151",---,"367,49002",120.822,---,---,"425,360","85,1",2019
206210934,Vakıf,İSTANBUL YENİ YÜZYIL ÜNİVERSİTESİ  ,Mühendislik-Mimarlık Fakültesi,SAY,%50 İndirimli,45,---,45,0,---,0,45,"% 0,0",---,---,---,---,---,Dolmadı,---,---,---,---,2019
208410335,Vakıf,İSTİNYE ÜNİVERSİTESİ ,Güzel Sanatlar Tasarım ve Mimarlık Fakültesi,SAY,Burslu,5,---,5,5,---,5,---,"% 100,0",---,---,"378,55401",---,"408,79971",82.598,---,---,"423,530","84,7",2019
208410344,Vakıf,İSTİNYE ÜNİVERSİTESİ ,Güzel Sanatlar Tasarım ve Mimarlık Fakültesi,SAY,%50 İndirimli,45,---,45,11,---,11,34,"% 24,4",---,---,Dolmadı,---,"330,34855",Dolmadı,---,---,"407,895","81,6",2019
208450714,Vakıf,İSTİNYE ÜNİVERSİTESİ ,Güzel Sanatlar Tasarım ve Mimarlık Fakültesi,SAY,Burslu,4,---,4,4,---,4,---,"% 100,0",---,---,"400,19870",---,"429,58905",64.556,---,---,"412,238","82,4",2019
208450715,Vakıf,İSTİNYE ÜNİVERSİTESİ ,Güzel Sanatlar Tasarım ve Mimarlık Fakültesi,SAY,%50 İndirimli,36,---,36,4,---,4,32,"% 11,1",---,---,Dolmadı,---,"378,54670",Dolmadı,---,---,"435,288","87,1",2019
203510216,Vakıf,İZMİR EKONOMİ ÜNİVERSİTESİ  ,Güzel Sanatlar ve Tasarım Fakültesi,SAY,Ücretli,50,---,50,24,---,24,26,"% 48,0",2,---,Dolmadı,---,"327,69520",Dolmadı,---,1,"420,190","84,0",2019
203510225,Vakıf,İZMİR EKONOMİ ÜNİVERSİTESİ  ,Güzel Sanatlar ve Tasarım Fakültesi,SAY,Burslu,6,---,6,6,---,6,---,"% 100,0",---,---,"422,76638",---,"449,73697",47.958,---,---,"461,075","92,2",2019
203510985,Vakıf,İZMİR EKONOMİ ÜNİVERSİTESİ  ,Güzel Sanatlar ve Tasarım Fakültesi,SAY,%50 İndirimli,4,---,4,4,---,4,---,"% 100,0",---,---,"369,77017",---,"397,52321",90.732,---,---,"441,488","88,3",2019
203590140,Vakıf,İZMİR EKONOMİ ÜNİVERSİTESİ  ,Güzel Sanatlar ve Tasarım Fakültesi,SAY,%25 İndirimli,10,---,10,10,---,10,---,"% 100,0",---,---,"323,95669",---,"358,83289",145.958,---,---,"440,830","88,2",2019
203711081,Vakıf,KADİR HAS ÜNİVERSİTESİ ,Sanat ve Tasarım Fakültesi,SAY,Burslu,6,---,6,6,---,6,---,"% 100,0",---,---,"420,50627",---,"434,94928",49.429,---,---,"449,783","90,0",2019
203790193,Vakıf,KADİR HAS ÜNİVERSİTESİ ,Sanat ve Tasarım Fakültesi,SAY,%75 İndirimli,9,---,9,9,---,9,---,"% 100,0",---,---,"365,40319",---,"400,35495",95.019,---,---,"430,583","86,1",2019
203711099,Vakıf,KADİR HAS ÜNİVERSİTESİ ,Sanat ve Tasarım Fakültesi,SAY,%50 İndirimli,45,---,45,22,---,22,23,"% 48,9",---,1,Dolmadı,---,"352,57630",Dolmadı,---,1,"423,307","84,7",2019
204010457,Vakıf,KTO KARATAY ÜNİVERSİTESİ ,Güzel Sanatlar ve Tasarım Fakültesi,SAY,Ücretli,30,---,30,16,---,16,14,"% 53,3",1,---,Dolmadı,---,"346,36932",Dolmadı,---,4,"434,728","86,9",2019
204010466,Vakıf,KTO KARATAY ÜNİVERSİTESİ ,Güzel Sanatlar ve Tasarım Fakültesi,SAY,Burslu,5,---,5,5,---,5,---,"% 100,0",---,---,"393,47927",---,"434,10351",69.901,---,---,"472,730","94,5",2019
204010687,Vakıf,KTO KARATAY ÜNİVERSİTESİ ,Güzel Sanatlar ve Tasarım Fakültesi,SAY,%75 İndirimli,5,---,5,5,---,5,---,"% 100,0",---,---,"290,17352",---,"370,14707",211.202,---,---,"427,930","85,6",2019
204010475,Vakıf,KTO KARATAY ÜNİVERSİTESİ ,Güzel Sanatlar ve Tasarım Fakültesi,SAY,%50 İndirimli,10,---,10,2,---,2,8,"% 20,0",---,2,Dolmadı,---,"355,10898",Dolmadı,---,---,"465,850","93,2",2019
204111578,Vakıf,MALTEPE ÜNİVERSİTESİ ,Mimarlık ve Tasarım Fakültesi,SAY,Burslu,8,---,8,8,---,8,---,"% 100,0",---,---,"377,42760",---,"410,00600",83.589,---,2,"431,375","86,3",2019
204190388,Vakıf,MALTEPE ÜNİVERSİTESİ ,Mimarlık ve Tasarım Fakültesi,SAY,%75 İndirimli,7,---,7,7,---,7,---,"% 100,0",---,---,"323,56271",---,"376,42944",146.536,---,---,"400,171","80,0",2019
204112416,Vakıf,MALTEPE ÜNİVERSİTESİ ,Mimarlık ve Tasarım Fakültesi,SAY,%50 İndirimli,63,---,63,17,---,17,46,"% 27,0",---,---,Dolmadı,---,"321,79794",Dolmadı,---,2,"415,362","83,1",2019
204110517,Vakıf,MALTEPE ÜNİVERSİTESİ ,Mimarlık ve Tasarım Fakültesi,SAY,Burslu,7,---,7,7,---,7,---,"% 100,0",---,---,"389,48005",---,"425,73279",73.235,---,---,"465,593","93,1",2019
204190375,Vakıf,MALTEPE ÜNİVERSİTESİ ,Mimarlık ve Tasarım Fakültesi,SAY,%75 İndirimli,15,---,15,15,---,15,---,"% 100,0",---,---,"331,40604",---,"366,91407",134.944,---,---,"433,737","86,7",2019
204110305,Vakıf,MALTEPE ÜNİVERSİTESİ ,Mimarlık ve Tasarım Fakültesi,SAY,%50 İndirimli,44,---,44,13,---,13,31,"% 29,5",1,---,Dolmadı,---,"324,22082",Dolmadı,---,---,"418,888","83,8",2019
207210234,Vakıf,MEF ÜNİVERSİTESİ ,"Sanat, Tasarım ve Mimarlık Fakültesi",SAY,Burslu,7,---,7,7,---,7,---,"% 100,0",---,---,"420,14305",---,"430,00628",49.687,---,---,"447,250","89,5",2019
207210252,Vakıf,MEF ÜNİVERSİTESİ ,"Sanat, Tasarım ve Mimarlık Fakültesi",SAY,%50 İndirimli,58,---,58,54,---,54,4,"% 93,1",---,---,Dolmadı,---,"408,31028",Dolmadı,---,3,"424,628","84,9",2019
207210261,Vakıf,MEF ÜNİVERSİTESİ ,"Sanat, Tasarım ve Mimarlık Fakültesi",SAY,%25 İndirimli,8,---,8,2,---,2,6,"% 25,0",1,---,Dolmadı,---,"291,90509",Dolmadı,---,---,"399,750","80,0",2019
204510125,Vakıf,NİŞANTAŞI ÜNİVERSİTESİ ,Mühendislik-Mimarlık Fakültesi,SAY,Burslu,5,---,5,5,---,5,---,"% 100,0",---,---,"337,89578",---,"372,39742",126.187,---,---,"436,650","87,3",2019
204510779,Vakıf,NİŞANTAŞI ÜNİVERSİTESİ ,Mühendislik-Mimarlık Fakültesi,SAY,%75 İndirimli,34,---,34,3,---,3,31,"% 8,8",---,---,Dolmadı,---,"319,88745",Dolmadı,---,---,"403,467","80,7",2019
204510294,Vakıf,NİŞANTAŞI ÜNİVERSİTESİ ,Mühendislik-Mimarlık Fakültesi,SAY,%50 İndirimli,10,---,10,0,---,0,10,"% 0,0",---,---,---,---,---,Dolmadı,---,---,---,---,2019
204511017,Vakıf,NİŞANTAŞI ÜNİVERSİTESİ ,Mühendislik-Mimarlık Fakültesi,SAY,Burslu,4,---,4,4,---,4,---,"% 100,0",---,---,"334,83201",---,"395,24422",130.196,---,---,"428,263","85,7",2019
204511026,Vakıf,NİŞANTAŞI ÜNİVERSİTESİ ,Mühendislik-Mimarlık Fakültesi,SAY,%75 İndirimli,33,---,33,3,---,3,30,"% 9,1",---,---,Dolmadı,---,"335,20759",Dolmadı,---,1,"398,000","79,6",2019
204511344,Vakıf,NİŞANTAŞI ÜNİVERSİTESİ ,Mühendislik-Mimarlık Fakültesi,SAY,%50 İndirimli,3,---,3,0,---,0,3,"% 0,0",---,---,---,---,---,Dolmadı,---,---,---,---,2019
204610133,Vakıf,NUH NACİ YAZGAN ÜNİVERSİTESİ ,Güzel Sanatlar ve Tasarım Fakültesi,SAY,Ücretli,31,---,31,5,---,5,26,"% 16,1",1,---,Dolmadı,---,"314,64522",Dolmadı,---,1,"434,870","87,0",2019
204610142,Vakıf,NUH NACİ YAZGAN ÜNİVERSİTESİ ,Güzel Sanatlar ve Tasarım Fakültesi,SAY,Burslu,4,---,4,4,---,4,---,"% 100,0",---,---,"344,33686",---,"380,93554",117.974,---,2,"426,825","85,4",2019
204610151,Vakıf,NUH NACİ YAZGAN ÜNİVERSİTESİ ,Güzel Sanatlar ve Tasarım Fakültesi,SAY,%50 İndirimli,5,---,5,5,---,5,---,"% 100,0",---,---,"322,53852",---,"337,73679",148.072,---,---,"423,880","84,8",2019
204810704,Vakıf,ÖZYEĞİN ÜNİVERSİTESİ ,Mimarlık ve Tasarım Fakültesi,SAY,Ücretli,6,---,6,0,---,0,6,"% 0,0",---,---,---,---,---,Dolmadı,---,---,---,---,2019
